Post_id	Comment_id	CQ	Usefullness	Category
3970620	8190947	What have you tried? Hint: the system doesn't necessarily have a unique solution.	1	Combination
814488	1683178	I think that's a little too broad? Squares can have so many interpretations. When it's in a formula (e.g. $\frac{1}{2}mv^2$), I just tend to interpret it as: "A 'small' variation in $v$ will cause a 'big' variation in $E_k$", or "if my velocity keeps getting higher, my kinetic energy will also keep getting higher, but at a much higher rate".	1	Combination
4369999	9130927	Which programming language is that? I'm guessing TypeScript.	1	Combination
2775471	5723980	What have you done on this?  Can you compute the probability of success if you flip the coin 5 times, say?	1	Combination
2302679	4737563	Of what are you taking the product in the second and third lines? Should it be $\mathcal{F}(U_i\cap U_j)$? Also, writing  $$\sigma(s_1,s_2)=(s_1,s_1|_{U_2},s_2|_{U_1},s_2)\qquad\text{ and }\qquad\sigma'(s_1,s_2)=(s_1,s_2|_{U_1},s_1|_{U_2},s_2),$$ assumes an ordering on the product over $I^2$. If you don't assume an arbitrary ordering on the products then it is clear that the maps $\sigma$ and $\sigma'$ are in fact the same.	1	Combination
3333495	6860033	What's the role of $x_i$? Position?	1	Combination
1857145	3802128	Have you looked at the proof? What is it proving?	1	Combination
1807382	3692715	Can you expand the polynomial and compute the coefficient of $x$ in $f(x)$?  What is the value of $f$ when $x=p$?	1	Combination
1020390	2082051	Do you integrate from $a$ to $b$ and do you average the integral by dividing by $b-a$? Also should you have $f(x) \geq 0$?	1	Combination
4029990	8322275	What if $F = 0$? You will need more conditions than only continuity. And what do you mean with *"a linear system cannot be driven to the origin with nice controls"*? Linear state feedback is not nice? Why?	1	Combination
237142	525087	Yes, you can. Do you need to give such a number? Do you know about continued fractions?	1	Combination
116332	270457	I know the theory behind it, I'm just not sure how I'd attempt to do it.  You know why it takes a minimum of n-1 comparisons to find the smallest element, right?  Well, without giving it away, once you know the smallest, how would you develop a short list of candidates for the runner up?	0	Combination
2377952	4902241	But what is the proposition you're trying to prove? The Well-Ordering Principle?	0	Combination
4145975	8580799	Can $x^!$ be solved?  $\sqrt{{\rm True}}$?  $\sum\limits_{x=!}^{\sqrt{ +}}$?	0	Combination
1515662	3086828	What do you mean by curve?  If you just mean a continuous image of $[0,1]$, then a space-filling curve gives a counter-example.	0	Combination
817321	1689244	What is your definition of $x\times y$? Also, your relation with $\sin \alpha$ is wrong.	0	Combination
1626854	3317287	If your understanding of the question is correct and f(v,w) = v + w you just have to show f(v,w) + f(y, z) = f(v+y, w+z) and f(k(v,w)) = kf(v,w).  Actually your statment $(f + g)(s) = f(s) + g(s)$ doesn't seem right to me.  That's always true by definition, isn't it?  I think you meant f(s + t) = f(s) + f(t).  Unless I misunderstand what you meant...	0	Combination
1895452	3888257	Isn't $f(p)$ simply too large a number to be a factor of $p^n-1$ in most cases? Bernoulli's inequality implies that $f(p)\ge(p-1)^{n+1}>p^n-1$ when $p>n+1$. And that is not a tight estimate. Anyway, $p$ needs to be small, so if you rule out small cases, then it probably will work, but also may not be as interesting as the case $\deg f=n$.	0	Combination
2720906	5618105	You just need to check that the three axioms in the definition are satisfied. Which of the three is giving you problems? Did you try verifying the axioms for linear matroids? The notion of "flat" of a matroid is the combinatorial abstraction of a vector subspace, so verifying the axioms for linear matroids might be more natural. That verification is useful for the graphic case since every graphic matroid is linear.	0	Combination
1656210	3377881	Well it can't be uniform like that since the range of $Y/X$ is all of $\Bbb R$ isn't it?	0	Combination
4074964	8420105	It is $t$ or $p$ ? Is it $dt$ or $dx$ ? Also I don't think integrating on $\mathbb R^-$ is relevant, $x^{2-t}$ is not defined there for most of the reals $t$ ? (only on $\mathbb Q_{odd}$ the rationals with odd denominator).	0	Combination
2479425	5122755	Is the answer 53??	2	Confirmation
2896068	5983599	Do you mean: "post the shortcut as answer"?	3	Confirmation
1886956	3870163	So, you have a list of triangles but some of them might be degenerate, and you run into trouble when you try to build a local coordinate system on one of these bad triangles. Is that a fair assessment of the situation? If so, how about keeping the last â€œgoodâ€ set of axes (basis vectors) and when you detect one of these bad cases, use the saved coordinate system, adjusting the origin as necessary to the midpoint of the shared edge common to the bad triangle and the next one?	3	Confirmation
2734573	5643697	Doesn't $|X|\le1$ mean that the cardinality of $X$ is less than or equal to 1?	3	Confirmation
1157824	2360720	I assume that $x>0$, as is the quantity on the right?	3	Confirmation
3593827	7388510	In your [motivating question](https://math.stackexchange.com/questions/3593506/how-to-write-a-mixed-integer-program-for-a-streak), $(c,d,e)=(x,1,-1)$, right?	3	Confirmation
4350460	9079881	Do you mean that, in your opinion, the definition of ordering in the sense of $<$ does not need to replace the "connex" condition? Is this your question?	3	Confirmation
2722481	5620267	It appears that you want to arrange the rectangles so that the midpoint of a chosen side of each touches the circle and the rectangles are packed as tightly as possible. Is that about right?	3	Confirmation
2604608	5378379	First: if you have $f(x)=2a+3b$ you can say just $f(x)=k$. Second: do you mean by the Epsilon-Delta definition? Or by $\lim_{h\to0}|f(x)-f(x+h)|=0$? Or maybe other definition?	3	Confirmation
328171	709367	So we delete $\frac{7}{8}$ of the elements yet we copy a quarter over?  How does that work?  Also you define two things as the 'current' number of elements.  Do you mean $n$ is how many elements you start with?	3	Confirmation
3215548	6616192	are you asking what kind of mathematical object $\nabla g$ is? Or are you also interested in what this quantity means?	3	Confirmation
1723255	3518242	"if I have $2$ questions correct in a row, the following questions will give me an additional point if I am correct" -- do I understand correctly that any correct answer preceded by at least two correct answers is worth $2$ points? So e.g. "wrong, right, right, right, right, right, wrong" would be worth $5+3=8$ points?	3	Confirmation
3748552	7709972	you put "$i_j$ ranges from $0$ to $r_j$" : is that an actual requirement ?	3	Confirmation
3685461	7576373	Am I correct in saying what you meant by the second question is "let $v^* \in \Bbb R$ ...."? I.e., $v^*$ is just a real number that will act as the target $v$ approaches in the limits?	3	Confirmation
1034874	2109353	so a loop would be a closed path without backtracking?	3	Confirmation
3302644	6794612	To confirm, are you trying to show $x \mapsto \langle x, y \rangle - H(x)$ obtains a unique maximum for any given $y$, where $H$ is strictly convex, homogeneous of degree $2$, and continuously twice-differentiable everywhere but $0$?	3	Confirmation
2720469	5616002	Do you want $f$ to be continuous?	3	Confirmation
946265	1949360	Are you sure the recurrence starts with $k=0$? That leads to $E(0) = 1+E(0)$.	3	Confirmation
1351742	2748276	What book is this? I'm guessing $k_{n+1}$ is the set of $(n+1) \times (n+1)$ matrices over the field $k$. The $n+1$ is the dimension of $A^1$ which is clearly one more than $A$.	3	Confirmation
3694877	7596966	Did you read somewhere that this is true? In a 1981 paper, "*Almost split sequences in subcategories*" Auslander and SmalÃ¸ raised this as a problem (with the extra condition that $\mathcal{T}$ should be closed under extensions), and proved it is some special cases. But I thought that the general case (even assuming "closed under extensions") was still not known.	3	Confirmation
1366366	2780376	It *is* the correct answer. What do you think is the correct answer, and why?	2	Confirmation
2292287	4715779	Is this a tenth power or does this symbolize that we are talking about a number $N$ with base-10 digits as specified?	2	Confirmation
1529048	3114070	you want to compute the cumulative distribution function of the binomial distribution?!	2	Confirmation
2058528	4225545	I suppose I'm left asking should they be equal? or why do you think they should be equal.	2	Confirmation
3742710	7696213	Is your convention that $v$ and $w$ are row vectors?	2	Confirmation
4355301	9092989	@Fractal20 As in, restriction(s) independent of the initial condition?	2	Confirmation
342569	737408	I take it that $T$ is supposed to be itself recursive?	2	Confirmation
255901	560737	If $m-k$ is odd then that inequality is equivalent to $$k \geq m - \log_2 \left[\sqrt{\pi} \binom{m}{n} \right].$$ Is this the kind of thing you're looking for?	2	Confirmation
2578563	5322448	Sorry, that doesn't work. I assume that there is an understood *summation* over $m$?	2	Confirmation
3347323	6890980	Oh, so $\int_S\frac{\sigma(x')}{\|x_0-x'\|}\,da'$ has the same value for all $x_0\in S$?	2	Confirmation
342519	737280	By graph, do you mean the graph of a function?	2	Confirmation
4299660	8954443	Is it a conjecture or do you know that it is true and you need a proof?	2	Confirmation
3210981	6606846	Are you sure that you have made no typo?	2	Confirmation
2637003	5447831	Are you sure you want $\Psi$ and not $\sqrt{\Psi}$? The latter is the distance with respect to the Frobenius norm.	2	Confirmation
1903783	3906663	It mentions that you use Python. Does this indicate that a numerical approximated is wanted?	2	Confirmation
3603490	7407203	'Clearly then $k = 1$, else $k(p_1-1)(p_2-1) > n-1$'. Is this true? We've assumed $p_1 \neq 2$,but couldn't $p_2 = 2$? Then we would have $k(p_1-1)(p_2-1) = k(p_1-1) \geq (kp_1p_2)/2$, which is acceptable for $k = 2$ for strict equality?	2	Confirmation
530900	1134217	So what you're asking is more or less how specific one needs to be in order to justify calling a result a full classification?	2	Confirmation
3413069	7019368	Are you assuming that $f$ is everywhere nonnegative?	2	Confirmation
2078357	4269458	Are you trying to prove this asymptotically or for all $n$? I think this may not be true for all $n$ and for all growth functions, but I believe that, for all growth functions, there exists an $N$ such that for all $n \ge N$, $m_H(2n) \le m_H(n)^2$.	2	Confirmation
3409976	7013766	Would I be correct in interpreting $\mathbb P(A \rightarrow B)$ is a probability distribution on the set of functions from $A\rightarrow B$ and $A\rightarrow \mathbb P(B)$ is the set of functions from $A$ to probability distributions on $B$? These sets are related in interesting ways that I could write an answer about, but I'm not sure that's what you mean.	2	Confirmation
1559200	3174762	I assume you've used $\log \det(X) = \text{tr} \log (X)$ in coming up with the first derivative and that hasn't helped?	1	Confirmation
1390121	2829922	@Eric I edited $\mathbb{R}^3$ insted of R3, is it ok?	1	Confirmation
4396267	9194323	Isomorphic as vector spaces? It does not seem that the $H$'s form a Lie algebra.	1	Confirmation
357748	768874	Do you need to know how may solutions are there, or you just need to write them down (probably via software)?	1	Confirmation
2563829	5291744	You want to integrate the function $y^2-x^4$ over the convex quadrilateral in the $xy$-plane having vertices at $(0,0),(3,0),(0,3),(1,1)$. Did I understand the problem correctly?	1	Confirmation
946623	1949728	Surely $A \cap B \in \sigma(A,B)$? (I presume by $\sigma(A,B)$ you mean the smallest sigma algebra containing $A$ and $B$).	1	Confirmation
1326023	2694211	You mean that this should hold for all $x$ in the ring, or just for some $x$?	1	Confirmation
1198873	2442574	Would you be interested in a proof of (2) and (3) which relied on using the derivative and the series for $\ln(1+t)$? [There is such a proof, a bit long to write, but I'm asking if use of the series for log is OK in a proof, since you say "looking for a solution based only on induction and basic facts about sequences."]	1	Confirmation
227556	507214	When you say "exact probability", are you after a numerical answer? That would vary, depending on the values of `M` and `N` surely?	1	Confirmation
3420538	7034924	Is the $=1$ constraint indexed by $w$ and $b$?	1	Confirmation
3700638	7609882	There are algorithms that provably halt with probability 1 using SLLN but cannot be proven to halt with any positive probability using WLLN.  Is that the type of application you're asking for?	1	Confirmation
1107034	2257288	You are asking about the integral $\int\sin(2\pi nt)\sin(2\pi mt)\mathrm dt$ but only in the case where $n=m$... Why not simply ask about the integral of $\int\sin^2(2\pi nt)\mathrm d t$, which is clearly the same thing in that case?!	1	Confirmation
4152041	8595874	I take it you mean $\forall A,B \text{ } \exists c$?	1	Confirmation
4378615	9151207	Do you assume that the sum of $\pm x_i$, which includes at least two different $x_i$ cannot be $0$ unless each group of $x_i$ sums to $0$?	1	Confirmation
3357444	6910120	Are $G$ and $H$ free $A$-modules? Are they projective?	1	Confirmation
774969	1608274	but no _modus tollens_ ($\phi \rightarrow \psi, \lnot\psi \vdash \lnot\phi$) of course?	1	Confirmation
3676325	7585572	If $f(u,v) \geq 0$ then $g(x)=0$ iff $z(x)=f(z(x),xz(x))=0$, right?	1	Confirmation
520687	1114293	Are you looking for an exact great circle, or an approximation to some accuracy from a series of varying rhumb lines?	1	Confirmation
3416476	7026950	Is $P$ a projection matrix? I don't see why it should be idempotent.	1	Confirmation
1763932	3599738	Is $\emptyset$ excluded?  for $n=1$ I'd assume the answer was $2$, no?  But you get $1$.	1	Confirmation
1654261	3374623	Why does it seems that $f(x)\neq \sum_{n=0}^{\infty}(n+1)(x^n + x^{n+1})$? You conclude this by looking at the first term of the sum. In your answer that is $1+x$, in the given solution it is $1$, so it can't tbe the case that $f(x) = \sum_{n=0}^{\infty}(n+1)(x^n + x^{n+1})$, right? Wrong, because it can very well be that the "sums" (i.e. the series) are equal even though the first term isn't. The same way $1+2+3=2+1+3$ even though $1\neq 2$.	0	Confirmation
2656544	5487055	Just to make sure: Did you state the problem correctly? Or do you mean this https://math.stackexchange.com/q/1453890/42969 ?	0	Confirmation
3076370	6343633	Just an immediate observation, the A in your code is not mxn, but is nxn and orthogonal instead. Is that intended?	0	Confirmation
2111887	4343155	I think, what you're looking for is examples of spaces where the property in question does not hold, is that so?	0	Confirmation
2885105	5957600	If I've understood correctly, we have $|A_p|=0$ for $p>999$, right?	0	Confirmation
2761074	5694900	I suppose you mean $\int^x f(t)\,\mathrm dt$ rather than $\int f(x)\,\mathrm dx$? And yes, this condition does conclude that $f=g$, i.e. that the slope of the two functions given by $\int^x f(t)\,\mathrm dt$ and $\int^x g(t)\,\mathrm dt$ are the same.	0	Confirmation
2735541	5645604	Is it possible that they are asking for a multiplicative inverse that is specifically a Cauchy sequence? Because the sequence 1, 2, 3, 4... is definitely not Cauchy.	0	Confirmation
4315665	8993414	Do you mean that $E/E'$ is a torsion sheaf on a surface wwith $c_1(E/E')=0?	0	Confirmation
1466367	2986187	The second and last sets definitely don't span $\Bbb R^3$.  For the third, you'd have to tell me how you define $\Bbb R^3$.  Is it the set of all $3\times 1$ matrices?  Then no, it doesn't span.  Is it the $3$-dimensional vector space over the reals defined up to isomorphism?  Then yes, it does span.	0	Confirmation
2232239	4589885	Are you sure @Rajiv Kaipa?	0	Confirmation
2203271	4533179	Are all tickets non-refundable?	0	Confirmation
3767345	7751666	Did you calculate those integrals for this particular input $f$? In other words, did you work out the matrix of $T$ w.r.t. the basis $\{1,\cos x,\sin x\}$?	0	Confirmation
2658935	5491911	@bru1987 Are you sure that it is $\frac{x}{\ln(3)}$ instead of $x \ln(3)$?	0	Confirmation
93644	220334	You're question is phrased in a very confusing way. Can you try to clean it up?	3	Correction
2227375	4736951	Doesn't the non-trivial double cover of the one dimensional sphere factor through the "eight space", i.e., the union of two Spheres in a point?	3	Correction
2600387	5369362	Should your indicator function be ${\bf 1}_{\{|X_n| \geq t\}}$?	3	Correction
3903472	8050230	So you are interesting of the convergence of the *sequence* $a_k$, not the series ? Your title mentions the word series.	3	Correction
736204	1535919	Shouldn't it be $(15)(16)(24)(23)(27)$?  Permutations are conventionally composed from left to right, and it seems that by comparing the disjoint cycle representation to the product of transpositions representation, that this is where you've had difficulty.	3	Correction
3395059	6984349	Did you mean $p''(t)$ when you wrote $t''(p)$?	3	Correction
315522	683165	You have the correct formula. What prevents you from using it? You just have to set $u$ to be equal to the first vector, the one that generates $L$.	3	Correction
1422763	2898060	And where is the question? Putting it in the title is not the best way to ask. Anyway, the answer is negative no matter how one interprets the question.	3	Correction
1426619	2908993	Are you sure the RHS is not $w(|a|^2)^{1/2}$?	3	Correction
4209547	8737928	Should it be $f:X\to\mathbb{R}$?	3	Correction
1693570	3458203	@Calculon Ah, I see, I missed this detail. However, the statement in my previous comment remains valid if you replace "$t \geq 0$" by "$t>0$". Regarding your claim: No, that's not correct. First of all, $t$ is fixed so why is there a "$\exists s,t$" at the right-hand side?(I guess that's a "different" $t$) ... and anyway, this looks still rather overcomplicated to me. Why do you need two sequences ....?	3	Correction
1803573	3683679	do you mean $GF^2=EGÃ—GB$ instead?	3	Correction
4095804	8465707	Can you post $A,B,C$ as code so they can be copy/pasted?	3	Correction
1630693	3325071	If $A$ is a matrix, how can it be an Eiganvalue?	3	Correction
74167	175270	Should that be $A(n,k)$ in (2) (or else $|\{\pi\in S_n:\pi\text{ has }m\text{ runs}\}|$)?	3	Correction
4262413	8865760	Is the definition of $u^k_n$ correct? Or should there be $u_n$ instead of $u$?	2	Correction
3324847	6841862	How do "emergence and evolution" have anything to do with _functional analysis_? (Are you aware of what functional analysis actually _is_? It's not analyzing how things function - it's a specific area of math, namely the study of topological vector spaces.)	2	Correction
796368	1648211	Do you mean "surjective"? :)	2	Correction
3413467	7020409	$+- \sqrt {..} $ typo or another constraint?	2	Correction
1255084	2550309	Platonic solids?	2	Correction
4023062	8305533	Why do you think $\overline p$ is a fibration? (I'm not sure it need be)	2	Correction
406035	869034	I don't think it is different.  Suppose $x \in \bar{Y}$. For any $\epsilon$ there must be a $U_n$ with $x \in U_n \subset B(x, \epsilon/3)$.  Then $$\operatorname{diam}(Y \cap U_n) \le \operatorname{diam}(U_n) \le \operatorname{diam}(B(x, \epsilon/3) \le 2\epsilon/3 < \epsilon$$ so we have $x \in A$.  Are you sure you've read and transcribed correctly?  You could post more context from the proof.	2	Correction
1096570	2234951	Do you mean $v=1-a\left(\frac{1}{730}\right)^\frac{5}{8}$?  The way you wrote it (with the negative sign inside the $\frac 18$ power) is imaginary.	2	Correction
1242217	2525394	Isn't it supposed to be $w_{r+1} = v - \frac{\langle v,w_1\rangle}{\langle w_1,w_1\rangle}w_1-\dots$?  Otherwise your $w_{r+1}$ is defined as a linear combination of $w_i$'s since each $\langle \bullet,\bullet\rangle$ is a scalar.	2	Correction
1771552	3616501	You mean a closed set is defined to be a set that contains all its boundary points?	2	Correction
1641160	3346772	Should it be $x^2 \tan x \mid _{x=\pi}$ ?	2	Correction
2729274	5633241	did you mean $x(t) = ^2 , y(t) = t^5$?	2	Correction
624893	1316493	for some real $a$? Try $a=0$ :-). Do you mean for *any* real $a$?	2	Correction
2093275	4302435	Since the Gauss map of $M$ has nothing to do with a curve, I think that perhaps something is missing from this question. Perhaps "Compute the Gauss map of $M$ along the image of $c$" or "Compute the composition $N \circ c$ of the Gauss map of $M$ with the curve $c$"?	2	Correction
3327137	6846359	Please clear up the formatting. Why does the left hand side depend on $\xi$and the righat hand side doesn't? Please define the scalar product clearly.	2	Correction
591607	1248057	The way it's written you'll get $\int_{a}^{c} f\; df = \frac{c^2-a^2}{2}=0$. This implies that $|c|=|a|\; \forall a,c \in \mathbb{R}$ which is nonsense. Surely you mean $\int_{a}^{c} f(x)\; dx$?	1	Correction
3485950	7167681	At one point you said the center is trivial and elsewhere you said itâ€™s not!?	1	Correction
1403750	2859008	"the probability that it will rain on the weekends" is unclear because the plural doesn't seem to make sense. Did you mean "on the weekend" (i.e. on at least one of the weekend days) or "on the weekend days" (i.e. on both of them)?	1	Correction
4306777	8981815	Shouldn't $T-T_{w_k}$ have one term which is an $H$ inner product and one term that is a $V$ inner product?	1	Correction
2543403	5251131	This looks like a lot of interesting mathematics.  Is there a question?	1	Correction
2965692	6122336	By the way, should the sum be inside the ()^(1/r) ? That way it would make more sense ...	1	Correction
3082075	6354195	Isnt the integeral just y(b)-y(a)?	1	Correction
3005057	6198403	Do you mean $G\ast h$?	1	Correction
4084168	8439411	Isn't $|k|$ just $k$?	1	Correction
2018213	4148668	Are you sure you have the right definition for  "incidence matrix"? It's usually the matrix with $n$ rows and $n$ columns (indexing the vertices) with an entry of $1$ when vertices are joined by an edge.See https://en.wikipedia.org/wiki/Incidence_matrix	1	Correction
2782067	5737199	The paper you linked to is about the inequality $(x^\top A^n x)(x^\top x)^{n-1}\geqslant(x^\top Ax)^n$; there you have the equality when $x$ is an eigenvector, and moreover it is homogeneous (unlike yours). Are you sure about the inequality you want to prove?	1	Correction
2595165	5358252	Why the cases $1\leq p\leq 2$ and $2\leq p<\infty$ amount to the same upper bound? Then your question is actually addressing one inequality?	1	Correction
2363589	4870730	Do you mena the sphere: $(x-a)^2+(y-a)^2+z^2=2a^2$?	1	Correction
3404499	7002723	Isn't this false, though?	1	Correction
3129853	6448101	Do you mean $q_n$ instead of $(q_n, 0)$? I assume you constructing a quotient of $\mathbb Z \times [0, 1] \sqcup \mathbb Q$.	0	Correction
2219459	4565254	What? It doesn't say anywhere that $C_0 \subset U_k$.	0	Correction
505724	1085453	Is $(\mathscr{F}_t)_{t\geq 0}$ the natural filtration induced by $(B_t)_{t\geq 0}$?	3	Incomplete
1778196	3629861	is $G$ a simple graph?	3	Incomplete
2273322	4675946	What do you mean by "fixed value"? If the vectors are fixed, then the determinant is fixed, isn't it?	3	Incomplete
3574019	7348583	Are the blocks of $U$ identical?	3	Incomplete
4083331	8541900	... Please make clear which is the question and to what extent an answer will be accepted. Covering all primes in the above list is of course a nice wish, a knowledge which is nice to have, but making the computations... and then typing them... Is computer support allowed? May i use for instance sage? Is it enough to provide some code for some typical cases? (Of course, different primes dividing $(p-1)$ make the types differ in the nature, but the investigation follows parallel lines...) When investigating $21$, why not looking for $7$ directly...?	3	Incomplete
2018574	4143570	Can you show us one of your failed attempts?	3	Incomplete
2464998	5093278	If $N=2$ and $\theta=\pi/2$ then your set is a line. There is no uniform (ie translation invariant) distribution on $\mathbb R$. Do you want to fix or bound $\|v\|$?	3	Incomplete
3431703	7057292	What is the Euler-Cauchy numerical scheme? I know Euler-Cauchy differential equations, which this one is not,...	3	Incomplete
415655	896620	Can you specify if you're trying to come up with a first order correction for the time variation of the fields, or a correction for spatial variation of the fields?  Your Taylor expansion of the field hints at correction for spatial gradients, but then you try to derive time corrections?	3	Incomplete
4180682	8664997	What is the precise question?	3	Incomplete
3902601	8050405	You haven't made it clear form the start that the $B's$ are nonoverlapping and $A = \cup_{B \subset A} B$, although it is implicit in the argument.  Why have you used the lebesgue-integral tag but based your argument on Riemann-Darboux sums?  I assume then that  "integrable" here can be taken as "Riemann integrable" in what you are trying to prove.	3	Incomplete
46951	104617	Your nomenclature is a bit of a mess. Is $(k_n)_i$ supposed to be $k_{n_i}$? What is $((p_n)_1)$? Why the up-raised parentheses, ${}^{(}(k_n)_1$?	3	Incomplete
4023418	8311943	Hello @pyring, and welcome to math.SE! Currently the question seems to have a chunk missing, replaced by "*[...here I explain models MI and MII, and then I proceed to describe the aggregation rules...]*". As the question is largely about mathematical communication I feel this portion might be important, both because some of the 'interesting' stuff might happen there, and because some notation in the following section ($f_{x_0}$) has not been introduced elsewhere. Could you either add that part or confirm that advice should disregard it?	3	Incomplete
1387418	2825214	Is $E_k(\epsilon)$ the set $\{x\in E: |f_k(x) - f(x)| >\epsilon\}$?	3	Incomplete
1927859	3957854	Could you explain what you already tried ? It will be easier to help you. Thanks.	3	Incomplete
2955068	6101379	Do you have any hunches as to the notation?	3	Incomplete
440461	944042	In the product $\prod\limits_{i \geqslant 1} (1+x^i)$, what is the coefficient of $x^n$? How do you get something that contributes to that coefficient?	3	Incomplete
3589690	7380340	What did you tried? What tools can you use?	3	Incomplete
2322126	4779636	Are there any conditions on $f(x)$?	3	Incomplete
4346978	9070562	What is the definition of $(Y_n\mid X_n)\stackrel{d}\to\mathcal{N}(0,1)$? You are considering the limit of random distributions (i.e., random variables taking values in the space of probability distributions), and so, you would want to specify the mode under which the limit is taken.	3	Incomplete
2666031	5506660	How does one win a game ?	3	Incomplete
2312449	4758325	So $D_1$ and $D_2$ are effective divisors?	3	Incomplete
3243022	6669966	What are the $L$'s?	3	Incomplete
1432288	2917822	And what is gr(p)?	3	Incomplete
3194595	6576363	What exactly do you mean by the notation $E_x(f(X_s); \tau \in ds)$?	3	Incomplete
2400268	4953143	What do you mean with â€œthree circles intersecting each otherâ€? Just that each one intersects the other two? Or that there's a point that belongs to the three circles?	3	Incomplete
1123630	2292644	What is a closed interval between two points in the plane? Is it a line segment?	3	Incomplete
2129985	4380294	Are the cylinder and the cuboid solid ones or only the surfaces of a cuboid and a cylinder?	3	Incomplete
250499	550635	What does a typical element of $M/(M\cap N)$ look like; i.e., how do you write its general form?  Given such an element, can you find an element of $(M+N)/N$ that is sent there under your map?  Incidentally, note that $n+N=N$, so $m+n+N=m+N$ (assuming here that $n\in N$).	3	Incomplete
1195578	2433777	What are your ideas on this problem, do you know what you have to show precisely?	3	Incomplete
3684707	7572330	When you say you don't understand how to use "that" to prove Newton's identities, what does "that" refer to? Please be more clear and explicit in saying what it is you don't understand.	3	Incomplete
3613523	7445457	Is the conjecture equivalent to this?  Write $\sim$ for "orthogonal to."  If $L_1 \sim L_2$ and $L_2 \sim L_3$, then $L_1 \sim L_3$.  I.e., $\sim$ is transitive.	3	Incomplete
3126128	6440667	What have you tried?	3	Incomplete
1581047	3218161	The question in the title and the question in the body of text aren't the same. Do you want $M$ in the first or second components of $\text{Ext}$ and $\text{Tor}$?	3	Incomplete
395369	846858	Is $H$ connected?	3	Incomplete
359148	771830	Your definition of $\varphi$ doesnâ€™t really make sense. Before I can help you with it, though, youâ€™ll have to say what you mean by an isomorphism between, say, $\iso(X,Y)$ and $\iso(U,V)$: what structure is to be preserved?	3	Incomplete
2000580	4107764	And yes, does $n$ vary, or are $S$ and $n$ fixed?	3	Incomplete
1508635	3072921	Which definition of Gauss curvature are you using? You don't have to find the dual basis.	3	Incomplete
3072627	6336705	You need to give us much more details, on the source you have what are the definitions?   Bipartite graphs have many properties, symmetric eigenvalues, $C_3$ free, ...	3	Incomplete
3113921	6417841	What do you mean by "some parameter Q" and "Q  belongs to a generator representation of the symmetry group of H^"?	3	Incomplete
3362580	6920205	What is the hint from the question?	3	Incomplete
288145	628516	Your first task is to make precise the asymptotics you consider: $k\to\infty$ and $n\gt k$ but how? $n=k+1$, or $n\gg k$, or $n/k\to\alpha$ positive and finite?	3	Incomplete
